Date,Open,High,Low,Close,Adj Close,Volume
10/13/2020,121.080002,121.970001,120.559998,121.050003,120.420715,13100
10/14/2020,121.330002,121.719002,119.369003,119.970001,119.346336,37800
10/15/2020,118.029999,119.279999,117.789001,119.107002,118.487816,30600
10/16/2020,119.900002,120.410004,118.5,118.5,117.88398,51000
10/19/2020,119.830002,119.830002,116.235001,116.449997,115.844627,50600
10/20/2020,116.910004,118.085999,116.290001,116.889999,116.282333,49800
10/21/2020,116.949997,118,116.669998,117.040001,116.431557,28200
10/22/2020,117.110001,117.348999,115.459999,116.720001,116.11322,24800
10/23/2020,116.989998,117,115.809998,117,116.391769,40600
10/26/2020,116.010002,116.980003,113.848999,115.18,114.581223,74400
10/27/2020,115.620003,116.449997,115.139999,116.089996,115.486496,46900
10/28/2020,114.279999,114.279999,111.5,111.690002,111.109375,138800
10/29/2020,112.160004,114.668999,112.000999,113.510002,112.919907,79600
10/30/2020,112.699997,113.010002,109.690002,110.860001,110.283691,130600
11/2/2020,111.650002,112.239998,109.699997,110.900002,110.323471,74100
11/3/2020,111.709999,113.629997,111.309998,113.431,112.841324,61800
11/4/2020,116.449997,118.552002,115.970001,117.790001,117.177666,109700
11/5/2020,120.510002,121.299004,120.019997,120.919998,120.291389,146500
11/6/2020,120.629997,121.220001,119.074997,121,120.370972,47100
11/9/2020,122.209999,122.709999,118.5,118.5,117.88398,154000
11/10/2020,117.150002,117.68,115.350998,116.317001,115.712318,84200
11/11/2020,117.470001,119.199997,117.470001,119.110001,118.490791,65800
11/12/2020,119.480003,119.940002,118,118.419998,117.804375,44900
11/13/2020,119.190002,119.617996,118.303001,119.550003,118.928513,39900
11/16/2020,119.459999,120.490997,119.029999,120.07,119.445816,47000
11/17/2020,120.559998,120.629997,119.860001,120.059998,119.435852,29000
11/18/2020,119.860001,120.470001,119.407997,119.547997,118.926521,35200
11/19/2020,118.970001,120.129997,118.809998,120.129997,119.505486,52700
11/20/2020,120.07,120.299004,119.389999,119.389999,118.769341,37000
11/23/2020,119.769997,120.169998,118.360001,119.300003,118.67981,50500
11/24/2020,119.800003,121.110001,119.074997,121.040001,120.410767,90900
11/25/2020,121.389999,121.948997,121.192001,121.719002,121.086235,44200
11/27/2020,122.550003,123.300003,122.421997,122.75,122.111877,35500
11/30/2020,122.970001,123.160004,121.139999,123.010002,122.370522,84000
12/1/2020,124.07,125.32,123.679001,124.720001,124.07164,92800
12/2/2020,124.160004,124.919998,123.440002,124.839996,124.190994,140900
12/3/2020,124.949997,125.612999,124.739998,125.019997,124.370071,93200
12/4/2020,125.050003,125.529999,124.779999,125.449997,124.797829,74300
12/7/2020,125.620003,126.329002,125.480003,125.830002,125.175865,76700
12/8/2020,126.019997,126.720001,125.308998,126.605003,125.946838,54800
12/9/2020,126.589996,126.620003,123.369003,123.849998,123.206154,148700
12/10/2020,122.949997,124.669998,122.441002,124.260002,123.614029,128300
12/11/2020,123.550003,124.019997,122.610001,123.970001,123.325531,54200
12/14/2020,124.540001,125.699997,124.540001,124.889999,124.240746,184100
12/15/2020,125.889999,126.230003,125,126.230003,125.573784,64300
12/16/2020,126.440002,127.239998,125.980003,126.910004,126.250259,84900
12/17/2020,127.620003,127.787003,127.099998,127.760002,127.095833,57900
