Date,Close,Returns
10/13/2016,100.230003,
10/14/2016,101.470001,1.239998
10/17/2016,99.800003,-1.669998
10/18/2016,118.790001,18.989998
10/19/2016,121.870003,3.080002
10/20/2016,123.349998,1.479995
10/21/2016,127.5,4.150002
10/24/2016,127.330002,-0.169998
10/25/2016,126.510002,-0.82
10/26/2016,126.970001,0.459999
10/27/2016,126.470001,-0.5
10/28/2016,126.57,0.099999
10/31/2016,124.870003,-1.699997
11/1/2016,123.300003,-1.57
11/2/2016,122.339996,-0.960007
11/3/2016,122.139999,-0.199997
11/4/2016,122.029999,-0.11
11/7/2016,124.580002,2.550003
11/8/2016,124.339996,-0.240006
11/9/2016,122.190002,-2.149994
11/10/2016,115.419998,-6.770004
11/11/2016,114.779999,-0.639999
11/14/2016,113.379997,-1.400002
11/15/2016,113.589996,0.209999
11/16/2016,115.190002,1.600006
11/17/2016,115.029999,-0.160003
11/18/2016,115.209999,0.18
11/21/2016,117.959999,2.75
11/22/2016,118.040001,0.080002
11/23/2016,117.690002,-0.349999
11/25/2016,117.410004,-0.279998
11/28/2016,116.93,-0.480004
11/29/2016,117.510002,0.580002
11/30/2016,117,-0.510002
12/1/2016,117.220001,0.220001
12/2/2016,120.809998,3.589997
12/5/2016,119.160004,-1.649994
12/6/2016,124.57,5.409996
12/7/2016,125.389999,0.819999
12/8/2016,123.239998,-2.150001
12/9/2016,122.879997,-0.360001
12/12/2016,122.830002,-0.049995
12/13/2016,123.779999,0.949997
12/14/2016,123.440002,-0.339997
12/15/2016,125,1.559998
12/16/2016,124.220001,-0.779999
12/19/2016,125.449997,1.229996
12/20/2016,125.120003,-0.329994
12/21/2016,126.5,1.379997
12/22/2016,125.580002,-0.919998
12/23/2016,125.589996,0.009994
12/27/2016,128.350006,2.76001
12/28/2016,125.889999,-2.460007
12/29/2016,125.330002,-0.559997
12/30/2016,123.800003,-1.529999
1/3/2017,127.489998,3.689995
1/4/2017,129.410004,1.920006
1/5/2017,131.809998,2.399994
1/6/2017,131.070007,-0.739991
1/9/2017,130.949997,-0.12001
1/10/2017,129.889999,-1.059998
1/11/2017,130.5,0.610001
1/12/2017,129.179993,-1.320007
1/13/2017,133.699997,4.520004
1/17/2017,132.889999,-0.809998
1/18/2017,133.259995,0.369996
1/19/2017,138.410004,5.150009
1/20/2017,138.600006,0.190002
1/23/2017,137.389999,-1.210007
1/24/2017,140.110001,2.720002
1/25/2017,139.520004,-0.589997
1/26/2017,138.960007,-0.559997
1/27/2017,142.449997,3.48999
1/30/2017,141.220001,-1.229996
1/31/2017,140.710007,-0.509994
2/1/2017,140.779999,0.069992
2/2/2017,139.199997,-1.580002
2/3/2017,140.25,1.050003
2/6/2017,140.970001,0.720001
2/7/2017,144,3.029999
2/8/2017,144.740005,0.740005
