Date	Close
10/12/2021	"14,465.92"
10/11/2021	"14,486.20"
10/8/2021	"14,579.54"
10/7/2021	"14,654.02"
10/6/2021	"14,501.91"
10/5/2021	"14,433.83"
10/4/2021	"14,255.48"
10/1/2021	"14,566.70"
9/30/2021	"14,448.58"
9/29/2021	"14,512.44"
9/28/2021	"14,546.68"
9/27/2021	"14,969.97"
9/24/2021	"15,047.70"
9/23/2021	"15,052.24"
9/22/2021	"14,896.85"
9/21/2021	"14,746.40"
9/20/2021	"14,713.90"
9/17/2021	"15,043.97"
9/16/2021	"15,181.92"
9/15/2021	"15,161.53"
9/14/2021	"15,037.76"
9/13/2021	"15,105.58"
9/10/2021	"15,115.49"
9/9/2021	"15,248.25"
9/8/2021	"15,286.64"
9/7/2021	"15,374.33"
9/3/2021	"15,363.52"
9/2/2021	"15,331.18"
9/1/2021	"15,309.38"
8/31/2021	"15,259.24"
8/30/2021	"15,265.89"
8/27/2021	"15,129.50"
8/26/2021	"14,945.81"
8/25/2021	"15,041.86"
8/24/2021	"15,019.80"
8/23/2021	"14,942.65"
8/20/2021	"14,714.66"
8/19/2021	"14,541.79"
8/18/2021	"14,525.91"
8/17/2021	"14,656.18"
8/16/2021	"14,793.76"
8/13/2021	"14,822.90"
8/12/2021	"14,816.26"
8/11/2021	"14,765.14"
8/10/2021	"14,788.09"
8/9/2021	"14,860.18"
8/6/2021	"14,835.76"
8/5/2021	"14,895.12"
8/4/2021	"14,780.53"
8/3/2021	"14,761.29"
8/2/2021	"14,681.07"
7/30/2021	"14,672.68"
7/29/2021	"14,778.26"
7/28/2021	"14,762.58"
7/27/2021	"14,660.58"
7/26/2021	"14,840.71"
7/23/2021	"14,836.99"
7/22/2021	"14,684.60"
7/21/2021	"14,631.95"
7/20/2021	"14,498.88"
7/19/2021	"14,274.98"
7/16/2021	"14,427.24"
7/15/2021	"14,543.13"
7/14/2021	"14,644.95"
7/13/2021	"14,677.65"
7/12/2021	"14,733.24"
7/9/2021	"14,701.92"
7/8/2021	"14,559.78"
7/7/2021	"14,665.06"
7/6/2021	"14,663.64"
7/2/2021	"14,639.33"
7/1/2021	"14,522.38"
6/30/2021	"14,503.95"
6/29/2021	"14,528.33"
6/28/2021	"14,500.51"
6/25/2021	"14,360.39"
6/24/2021	"14,369.71"
6/23/2021	"14,271.73"
6/22/2021	"14,253.27"
6/21/2021	"14,141.48"
6/18/2021	"14,030.38"
6/17/2021	"14,161.35"
6/16/2021	"14,039.68"
6/15/2021	"14,072.86"
