Date	Close
10/12/2021	"34,378.34"
10/11/2021	"34,496.06"
10/8/2021	"34,746.25"
10/7/2021	"34,754.94"
10/6/2021	"34,416.99"
10/5/2021	"34,314.67"
10/4/2021	"34,002.92"
10/1/2021	"34,326.46"
9/30/2021	"33,843.92"
9/29/2021	"34,390.72"
9/28/2021	"34,299.99"
9/27/2021	"34,869.37"
9/24/2021	"34,798.00"
9/23/2021	"34,764.82"
9/22/2021	"34,258.32"
9/21/2021	"33,919.84"
9/20/2021	"33,970.47"
9/17/2021	"34,584.88"
9/16/2021	"34,751.32"
9/15/2021	"34,814.39"
9/14/2021	"34,577.57"
9/13/2021	"34,869.63"
9/10/2021	"34,607.72"
9/9/2021	"34,879.38"
9/8/2021	"35,031.07"
9/7/2021	"35,100.00"
9/3/2021	"35,369.09"
9/2/2021	"35,443.82"
9/1/2021	"35,312.53"
8/31/2021	"35,360.73"
8/30/2021	"35,399.84"
8/27/2021	"35,455.80"
8/26/2021	"35,213.12"
8/25/2021	"35,405.50"
8/24/2021	"35,366.26"
8/23/2021	"35,335.71"
8/20/2021	"35,120.08"
8/19/2021	"34,894.12"
8/18/2021	"34,960.69"
8/17/2021	"35,343.28"
8/16/2021	"35,625.40"
8/13/2021	"35,515.38"
8/12/2021	"35,499.85"
8/11/2021	"35,484.97"
8/10/2021	"35,264.67"
8/9/2021	"35,101.85"
8/6/2021	"35,208.51"
8/5/2021	"35,064.25"
8/4/2021	"34,792.67"
8/3/2021	"35,116.40"
8/2/2021	"34,838.16"
7/30/2021	"34,935.47"
7/29/2021	"35,084.53"
7/28/2021	"34,930.93"
7/27/2021	"35,058.52"
7/26/2021	"35,144.31"
7/23/2021	"35,061.55"
7/22/2021	"34,823.35"
7/21/2021	"34,798.00"
7/20/2021	"34,511.99"
7/19/2021	"33,962.04"
7/16/2021	"34,687.85"
7/15/2021	"34,987.02"
7/14/2021	"34,933.23"
7/13/2021	"34,888.79"
7/12/2021	"34,996.18"
7/9/2021	"34,870.16"
7/8/2021	"34,421.93"
7/7/2021	"34,681.79"
7/6/2021	"34,577.37"
7/2/2021	"34,786.35"
7/1/2021	"34,633.53"
6/30/2021	"34,502.51"
6/29/2021	"34,292.29"
6/28/2021	"34,283.27"
6/25/2021	"34,433.84"
6/24/2021	"34,196.82"
6/23/2021	"33,874.24"
6/22/2021	"33,945.58"
6/21/2021	"33,876.97"
6/18/2021	"33,290.08"
6/17/2021	"33,823.45"
6/16/2021	"34,033.67"
6/15/2021	"34,299.33"
6/14/2021	"34,393.75"
6/11/2021	"34,479.60"
6/10/2021	"34,466.24"
6/9/2021	"34,447.14"
6/8/2021	"34,599.82"
6/7/2021	"34,630.24"
6/4/2021	"34,756.39"
6/3/2021	"34,577.04"
6/2/2021	"34,600.38"
6/1/2021	"34,575.31"
5/28/2021	"34,529.45"
5/27/2021	"34,464.64"
5/26/2021	"34,323.05"
5/25/2021	"34,312.46"
5/24/2021	"34,393.98"
5/21/2021	"34,207.84"
5/20/2021	"34,084.15"
5/19/2021	"33,896.04"
5/18/2021	"34,060.66"
5/17/2021	"34,327.79"
5/14/2021	"34,382.13"
5/13/2021	"34,021.45"
5/12/2021	"33,587.66"
5/11/2021	"34,269.16"
5/10/2021	"34,742.82"
5/7/2021	"34,777.76"
5/6/2021	"34,548.53"
5/5/2021	"34,230.34"
5/4/2021	"34,133.03"
5/3/2021	"34,113.23"
4/30/2021	"33,874.85"
4/29/2021	"34,060.36"
4/28/2021	"33,820.38"
4/27/2021	"33,984.93"
4/26/2021	"33,981.57"
4/23/2021	"34,043.49"
4/22/2021	"33,815.90"
4/21/2021	"34,137.31"
4/20/2021	"33,821.30"
4/19/2021	"34,077.63"
4/16/2021	"34,200.67"
4/15/2021	"34,035.99"
4/14/2021	"33,730.89"
4/13/2021	"33,677.27"
4/12/2021	"33,745.40"
4/9/2021	"33,800.60"
4/8/2021	"33,503.57"
4/7/2021	"33,446.26"
4/6/2021	"33,430.24"
4/5/2021	"33,527.19"
4/1/2021	"33,153.21"
3/31/2021	"32,981.55"
3/30/2021	"33,066.96"
3/29/2021	"33,171.37"
3/26/2021	"33,072.88"
3/25/2021	"32,619.48"
3/24/2021	"32,420.06"
3/23/2021	"32,423.15"
3/22/2021	"32,731.20"
3/19/2021	"32,627.97"
3/18/2021	"32,862.30"
3/17/2021	"33,015.37"
3/16/2021	"32,825.95"
3/15/2021	"32,953.46"
3/12/2021	"32,778.64"
3/11/2021	"32,485.59"
3/10/2021	"32,297.02"
3/9/2021	"31,832.74"
3/8/2021	"31,802.44"
3/5/2021	"31,496.30"
3/4/2021	"30,924.14"
3/3/2021	"31,270.09"
3/2/2021	"31,391.52"
3/1/2021	"31,535.51"
2/26/2021	"30,932.37"
2/25/2021	"31,402.01"
2/24/2021	"31,961.86"
2/23/2021	"31,537.35"
2/22/2021	"31,521.69"
2/19/2021	"31,494.32"
2/18/2021	"31,493.34"
2/17/2021	"31,613.02"
2/16/2021	"31,522.75"
2/12/2021	"31,458.40"
2/11/2021	"31,430.70"
2/10/2021	"31,437.80"
2/9/2021	"31,375.83"
2/8/2021	"31,385.76"
2/5/2021	"31,148.24"
2/4/2021	"31,055.86"
2/3/2021	"30,723.60"
2/2/2021	"30,687.48"
2/1/2021	"30,211.91"
1/29/2021	"29,982.62"
1/28/2021	"30,603.36"
