Date,Close,Returns
10/13/2016,143.220001,
10/14/2016,144.179993,0.959992
10/17/2016,143.800003,-0.37999
10/18/2016,144.300003,0.5
10/19/2016,144.860001,0.559998
10/20/2016,144.490005,-0.369996
10/21/2016,143.600006,-0.889999
10/24/2016,143.830002,0.229996
10/25/2016,143.419998,-0.410004
10/26/2016,143.940002,0.520004
10/27/2016,144.449997,0.509995
10/28/2016,144,-0.449997
10/31/2016,144.300003,0.300003
11/1/2016,143.630005,-0.669998
11/2/2016,143.190002,-0.440003
11/3/2016,143.639999,0.449997
11/4/2016,142.949997,-0.690002
11/7/2016,146.910004,3.960007
11/8/2016,147.789993,0.879989
11/9/2016,151.279999,3.490006
11/10/2016,156.059998,4.779999
11/11/2016,156.919998,0.86
11/14/2016,157.929993,1.009995
11/15/2016,157.460007,-0.469986
11/16/2016,157.080002,-0.380005
11/17/2016,158.389999,1.309997
11/18/2016,157.75,-0.639999
11/21/2016,158.710007,0.960007
11/22/2016,158.660004,-0.050003
11/23/2016,158.110001,-0.550003
11/25/2016,158.179993,0.069992
11/28/2016,156.970001,-1.209992
11/29/2016,157.679993,0.709992
11/30/2016,157.440002,-0.239991
12/1/2016,160.119995,2.679993
12/2/2016,159.389999,-0.729996
12/5/2016,160.210007,0.820008
12/6/2016,161.339996,1.129989
12/7/2016,164.690002,3.350006
12/8/2016,164.110001,-0.580001
12/9/2016,164.860001,0.75
12/12/2016,166.119995,1.259994
12/13/2016,166.619995,0.5
12/14/2016,165.059998,-1.559997
12/15/2016,165.729996,0.669998
12/16/2016,164.759995,-0.970001
12/19/2016,165.350006,0.590011
12/20/2016,166.360001,1.009995
12/21/2016,165.949997,-0.410004
12/22/2016,166.029999,0.080002
12/23/2016,165.320007,-0.709992
12/27/2016,164.949997,-0.37001
12/28/2016,163.75,-1.199997
12/29/2016,163.050003,-0.699997
12/30/2016,162.979996,-0.070007
1/3/2017,163.830002,0.850006
1/4/2017,164.080002,0.25
1/5/2017,163.300003,-0.779999
1/6/2017,163.410004,0.110001
1/9/2017,162.020004,-1.39
1/10/2017,161.470001,-0.550003
1/11/2017,162.229996,0.759995
1/12/2017,161.410004,-0.819992
1/13/2017,161.899994,0.48999
1/17/2017,159.639999,-2.259995
1/18/2017,160.490005,0.850006
1/19/2017,159.410004,-1.080001
1/20/2017,160.210007,0.800003
1/23/2017,158.809998,-1.400009
1/24/2017,160.720001,1.910003
1/25/2017,164.25,3.529999
1/26/2017,164.919998,0.669998
1/27/2017,164.399994,-0.520004
1/30/2017,164.800003,0.400009
1/31/2017,164.139999,-0.660004
2/1/2017,163.610001,-0.529998
2/2/2017,163,-0.610001
2/3/2017,163.940002,0.940002
2/6/2017,163.419998,-0.520004
2/7/2017,162.929993,-0.490005
2/8/2017,162.869995,-0.059998
2/9/2017,164.039993,1.169998
2/10/2017,164.009995,-0.029998
2/13/2017,165.850006,1.840011
2/14/2017,166.949997,1.099991
2/15/2017,167.279999,0.330002
2/16/2017,167.740005,0.460006
2/17/2017,168.570007,0.830002
2/21/2017,168.919998,0.349991
2/22/2017,169.610001,0.690003
2/23/2017,170.149994,0.539993
2/24/2017,170.220001,0.070007
2/27/2017,170.630005,0.410004
2/28/2017,171.419998,0.789993
3/1/2017,177.279999,5.860001
3/2/2017,175.889999,-1.39
3/3/2017,175.679993,-0.210006
3/6/2017,175.399994,-0.279999
3/7/2017,175.300003,-0.099991
3/8/2017,174.970001,-0.330002
3/9/2017,175.369995,0.399994
3/10/2017,174.979996,-0.389999
3/13/2017,175.389999,0.410003
3/14/2017,174.729996,-0.660003
3/15/2017,174.669998,-0.059998
3/16/2017,174.080002,-0.589996
3/17/2017,172.820007,-1.259995
3/20/2017,172.070007,-0.75
3/21/2017,169.470001,-2.600006
3/22/2017,169.300003,-0.169998
3/23/2017,169.889999,0.589996
3/24/2017,168.660004,-1.229995
3/27/2017,167.440002,-1.220002
3/28/2017,168.309998,0.869996
3/29/2017,166.589996,-1.720002
3/30/2017,167.360001,0.770005
3/31/2017,166.679993,-0.680008
4/3/2017,166.869995,0.190002
4/4/2017,166.860001,-0.009994
4/5/2017,165.830002,-1.029999
4/6/2017,166.470001,0.639999
4/7/2017,166.169998,-0.300003
4/10/2017,166.350006,0.180008
4/11/2017,165.699997,-0.650009
4/12/2017,165.110001,-0.589996
4/13/2017,162.899994,-2.210007
4/17/2017,164.350006,1.450012
4/18/2017,163.690002,-0.660004
4/19/2017,162.759995,-0.930007
4/20/2017,164.979996,2.220001
4/21/2017,163.410004,-1.569992
4/24/2017,165.779999,2.369995
4/25/2017,167.529999,1.75
4/26/2017,167.630005,0.100006
4/27/2017,166.550003,-1.080002
4/28/2017,165.210007,-1.339996
5/1/2017,165.440002,0.229995
5/2/2017,166.050003,0.610001
5/3/2017,166.729996,0.679993
5/4/2017,166.339996,-0.39
5/5/2017,166.550003,0.210007
5/8/2017,165.020004,-1.529999
5/9/2017,163.460007,-1.559997
5/10/2017,163.720001,0.259994
5/11/2017,163.270004,-0.449997
5/12/2017,163.320007,0.050003
5/15/2017,163.800003,0.479996
5/16/2017,163.610001,-0.190002
5/17/2017,161.259995,-2.350006
5/18/2017,161.619995,0.36
5/19/2017,163.240005,1.62001
5/22/2017,165.130005,1.89
5/23/2017,165.479996,0.349991
5/24/2017,164.929993,-0.550003
5/25/2017,165.300003,0.37001
